company,current_price,first_day_close,industry,offer_date,offer_price,return_percentage,scoop_rating,shares_millions,symbol
,$5.95,$5.95,,"
							4/19/2024							",$4.00,48.75%,,1.3,
,$3.30,$3.30,,"
							4/18/2024							",$4.00,-17.50%,,1.5,
,$23.95,$23.13,,"
							4/18/2024							",$21.00,14.05%,,12.4,
,$98.00,$103.25,,"
							4/18/2024							",$88.00,11.36%,,6.6,
,$3.70,$3.50,,"
							4/18/2024							",$4.00,-7.50%,,1.3,
,$3.14,$3.11,,"
							4/18/2024							",$4.00,-21.50%,,10.0,
,$4.06,$4.06,,"
							4/17/2024							",$4.00,1.50%,,2.0,
,$3.73,$1.94,,"
							4/16/2024							",$4.00,-6.75%,,2.0,
,$33.85,$34.94,,"
							4/12/2024							",$28.00,20.89%,,33.8,
,$23.65,$23.00,,"
							4/11/2024							",$21.00,12.62%,,21.4,
,$27.27,$6.70,,"
							4/10/2024							",$4.00,581.75%,,2.3,
,$15.42,$15.40,,"
							4/5/2024							",$16.00,-3.63%,,6.9,
,$4.25,$3.01,,"
							4/2/2024							",$4.50,-5.56%,,1.3,
,$3.48,$3.70,,"
							4/2/2024							",$4.00,-13.00%,,1.5,
,$3.13,$4.18,,"
							3/28/2024							",$5.00,-37.40%,,1.3,
,$10.09,$14.63,,"
							3/28/2024							",$16.00,-36.94%,,6.3,
,$4.10,$4.10,,"
							3/28/2024							",$5.00,-18.00%,,2.0,
,$6.80,$9.60,,"
							3/22/2024							",$12.00,-43.33%,,30.0,
,$3.83,$3.47,,"
							3/21/2024							",$4.00,-4.25%,,1.4,
,$40.88,$50.44,,"
							3/21/2024							",$34.00,20.24%,,22.0,
,$64.49,$62.03,,"
							3/20/2024							",$36.00,79.14%,,19.8,
,$1.57,$3.30,,"
							3/20/2024							",$4.00,-60.75%,,1.9,
,$3.60,$4.00,,"
							3/6/2024							",$4.00,-10.00%,,3.0,
,$2.54,$3.61,,"
							3/5/2024							",$4.00,-36.50%,,1.5,
,$5.86,$8.00,,"
							2/27/2024							",$4.00,46.50%,,4.5,
,$2.08,$3.05,,"
							2/21/2024							",$5.00,-58.40%,,2.2,
,$1.54,$4.80,,"
							2/16/2024							",$6.00,-74.33%,,1.1,
,$1.85,$3.03,,"
							2/14/2024							",$4.00,-53.75%,,1.3,
,$19.90,$19.05,,"
							2/9/2024							",$17.50,13.71%,,33.7,
,$10.25,$10.19,,"
							2/9/2024							",$10.00,2.50%,,16.0,
,$6.89,$10.31,,"
							2/9/2024							",$15.00,-54.07%,,6.3,
,$7.99,$5.00,,"
							2/9/2024							",$7.00,14.14%,,1.0,
,$18.20,$30.00,,"
							2/8/2024							",$22.00,-17.27%,,14.5,
,$2.85,$5.20,,"
							2/8/2024							",$6.00,-52.50%,,1.3,
,$13.12,$13.22,,"
							2/7/2024							",$12.00,9.33%,,56.0,
,$12.96,$20.70,,"
							2/2/2024							",$16.00,-19.00%,,8.4,
,$6.55,$12.85,,"
							2/2/2024							",$15.00,-56.33%,,7.3,
,$13.77,$13.40,,"
							2/1/2024							",$13.00,5.92%,,105.0,
,$10.15,$29.10,,"
							1/31/2024							",$30.00,-66.17%,,4.8,
,$15.50,$20.00,,"
							1/26/2024							",$18.00,-13.89%,,9.7,
,$10.51,$11.00,,"
							1/26/2024							",$13.00,-19.15%,,53.3,
,$4.73,$5.28,,"
							1/26/2024							",$4.00,18.25%,,2.4,
,$35.34,$37.17,,"
							1/25/2024							",$19.00,86.00%,,20.0,
,$2.72,$2.79,,"
							1/25/2024							",$4.00,-32.00%,,1.3,
,$0.64,$7.44,,"
							1/24/2024							",$5.00,-87.20%,,1.4,
,$1.95,$4.00,,"
							1/24/2024							",$4.00,-51.25%,,1.3,
,$115.72,$95.97,,"
							1/19/2024							",$92.00,25.78%,,11.3,
,$2.88,$7.70,,"
							1/18/2024							",$4.00,-28.00%,,1.4,
,$16.80,$16.19,,"
							1/18/2024							",$16.45,2.13%,,5.5,
,$3.65,$3.61,,"
							1/12/2024							",$4.00,-8.75%,,1.3,
,$24.88,$24.00,,"
							1/11/2024							",$21.00,18.48%,,7.7,
,$0.74,$2.90,,"
							1/9/2024							",$4.00,-81.50%,,3.1,
company,current_price,first_day_close,industry,offer_date,offer_price,return_percentage,scoop_rating,shares_millions,symbol
,$5.95,$5.95,,"
							4/19/2024							",$4.00,48.75%,,1.3,
,$3.30,$3.30,,"
							4/18/2024							",$4.00,-17.50%,,1.5,
,$23.95,$23.13,,"
							4/18/2024							",$21.00,14.05%,,12.4,
,$98.00,$103.25,,"
							4/18/2024							",$88.00,11.36%,,6.6,
,$3.70,$3.50,,"
							4/18/2024							",$4.00,-7.50%,,1.3,
,$3.14,$3.11,,"
							4/18/2024							",$4.00,-21.50%,,10.0,
,$4.06,$4.06,,"
							4/17/2024							",$4.00,1.50%,,2.0,
,$3.73,$1.94,,"
							4/16/2024							",$4.00,-6.75%,,2.0,
,$33.85,$34.94,,"
							4/12/2024							",$28.00,20.89%,,33.8,
,$23.65,$23.00,,"
							4/11/2024							",$21.00,12.62%,,21.4,
,$27.27,$6.70,,"
							4/10/2024							",$4.00,581.75%,,2.3,
,$15.42,$15.40,,"
							4/5/2024							",$16.00,-3.63%,,6.9,
,$4.25,$3.01,,"
							4/2/2024							",$4.50,-5.56%,,1.3,
,$3.48,$3.70,,"
							4/2/2024							",$4.00,-13.00%,,1.5,
,$3.13,$4.18,,"
							3/28/2024							",$5.00,-37.40%,,1.3,
,$10.09,$14.63,,"
							3/28/2024							",$16.00,-36.94%,,6.3,
,$4.10,$4.10,,"
							3/28/2024							",$5.00,-18.00%,,2.0,
,$6.80,$9.60,,"
							3/22/2024							",$12.00,-43.33%,,30.0,
,$3.83,$3.47,,"
							3/21/2024							",$4.00,-4.25%,,1.4,
,$40.88,$50.44,,"
							3/21/2024							",$34.00,20.24%,,22.0,
,$64.49,$62.03,,"
							3/20/2024							",$36.00,79.14%,,19.8,
,$1.57,$3.30,,"
							3/20/2024							",$4.00,-60.75%,,1.9,
,$3.60,$4.00,,"
							3/6/2024							",$4.00,-10.00%,,3.0,
,$2.54,$3.61,,"
							3/5/2024							",$4.00,-36.50%,,1.5,
,$5.86,$8.00,,"
							2/27/2024							",$4.00,46.50%,,4.5,
,$2.08,$3.05,,"
							2/21/2024							",$5.00,-58.40%,,2.2,
,$1.54,$4.80,,"
							2/16/2024							",$6.00,-74.33%,,1.1,
,$1.85,$3.03,,"
							2/14/2024							",$4.00,-53.75%,,1.3,
,$19.90,$19.05,,"
							2/9/2024							",$17.50,13.71%,,33.7,
,$10.25,$10.19,,"
							2/9/2024							",$10.00,2.50%,,16.0,
,$6.89,$10.31,,"
							2/9/2024							",$15.00,-54.07%,,6.3,
,$7.99,$5.00,,"
							2/9/2024							",$7.00,14.14%,,1.0,
,$18.20,$30.00,,"
							2/8/2024							",$22.00,-17.27%,,14.5,
,$2.85,$5.20,,"
							2/8/2024							",$6.00,-52.50%,,1.3,
,$13.12,$13.22,,"
							2/7/2024							",$12.00,9.33%,,56.0,
,$12.96,$20.70,,"
							2/2/2024							",$16.00,-19.00%,,8.4,
,$6.55,$12.85,,"
							2/2/2024							",$15.00,-56.33%,,7.3,
,$13.77,$13.40,,"
							2/1/2024							",$13.00,5.92%,,105.0,
,$10.15,$29.10,,"
							1/31/2024							",$30.00,-66.17%,,4.8,
,$15.50,$20.00,,"
							1/26/2024							",$18.00,-13.89%,,9.7,
,$10.51,$11.00,,"
							1/26/2024							",$13.00,-19.15%,,53.3,
,$4.73,$5.28,,"
							1/26/2024							",$4.00,18.25%,,2.4,
,$35.34,$37.17,,"
							1/25/2024							",$19.00,86.00%,,20.0,
,$2.72,$2.79,,"
							1/25/2024							",$4.00,-32.00%,,1.3,
,$0.64,$7.44,,"
							1/24/2024							",$5.00,-87.20%,,1.4,
,$1.95,$4.00,,"
							1/24/2024							",$4.00,-51.25%,,1.3,
,$115.72,$95.97,,"
							1/19/2024							",$92.00,25.78%,,11.3,
,$2.88,$7.70,,"
							1/18/2024							",$4.00,-28.00%,,1.4,
,$16.80,$16.19,,"
							1/18/2024							",$16.45,2.13%,,5.5,
,$3.65,$3.61,,"
							1/12/2024							",$4.00,-8.75%,,1.3,
,$24.88,$24.00,,"
							1/11/2024							",$21.00,18.48%,,7.7,
,$0.74,$2.90,,"
							1/9/2024							",$4.00,-81.50%,,3.1,
